Tank,ImageID,Stick,Species,Position,FragID,Genotype,Reef,UniqueCoralID,Temp,T0,T1,T2,T3,T4,T5
AC6,_1111914,5,A. hyacinthus,11,AhyaMartin3,Martin3,Martin,AC6_5_11,Ambient,1,1,1,1,1,1
AC6,_1111916,6,P. lutea,1,PlutWood4,Wood4,Wood,AC6_6_1,Ambient,1,1,1,1,1,1
AC6,_1111916,6,P. lutea,2,PlutMartin32,Martin32,Martin,AC6_6_2,Ambient,1,1,1,1,1,1
AC6,_1111916,6,P. lutea,3,PlutMartin19,Martin19,Martin,AC6_6_3,Ambient,1,1,1,1,1,1
AC6,_1111916,6,P. lutea,4,NA,NA,NA,AC6_6_4,Ambient,NA,NA,NA,NA,NA,NA
AC6,_1111916,6,P. lutea,5,PlutArlington9,Arlington9,Arlington,AC6_6_5,Ambient,1,1,1,1,1,1
AC6,_1111916,6,P. lutea,6,PlutDavies9,Davies9,Davies,AC6_6_6,Ambient,1,1,1,1,1,1
AC6,_1111916,6,P. lutea,7,PlutPalms23,Palms23,Palms,AC6_6_7,Ambient,1,1,1,1,1,1
AC6,_1111916,6,P. lutea,8,PlutPalms20,Palms20,Palms,AC6_6_8,Ambient,1,1,1,1,1,1
AC6,_1111916,6,P. lutea,9,PlutPalms17,Palms17,Palms,AC6_6_9,Ambient,1,1,1,1,1,1
AC6,_1111916,6,P. lutea,10,NA,NA,NA,AC6_6_10,Ambient,NA,NA,NA,NA,NA,NA
AC6,_1111916,6,P. lutea,11,PlutWood29,Wood29,Wood,AC6_6_11,Ambient,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,1,AhyaPalms4,Palms4,Palms,AR1_1_1,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,2,AhyaDavies16,Davies16,Davies,AR1_1_2,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,3,AhyaPalms16,Palms16,Palms,AR1_1_3,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,4,AhyaArlington11,Arlington11,Arlington,AR1_1_4,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,5,AhyaPalms6,Palms6,Palms,AR1_1_5,Hot,1,0,0,0,0,0
AR1,_1111818,1,A. hyacinthus,6,AhyaMartin12,Martin12,Martin,AR1_1_6,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,7,AhyaArlington9,Arlington9,Arlington,AR1_1_7,Hot,1,1,1,1,0,0
AR1,_1111818,1,A. hyacinthus,8,AhyaPalms10,Palms10,Palms,AR1_1_8,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,9,AhyaArlington10,Arlington10,Arlington,AR1_1_9,Hot,1,1,1,1,0,0
AR1,_1111818,1,A. hyacinthus,10,AhyaWood17,Wood17,Wood,AR1_1_10,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,11,AhyaWood5A,Wood5A,Wood,AR1_1_11,Hot,1,1,1,0,0,0
AR1,_1111820,2,P. lutea,1,PlutMartin19,Martin19,Martin,AR1_2_1,Hot,1,1,1,1,1,1
AR1,_1111820,2,P. lutea,2,NA,NA,NA,AR1_2_2,Hot,NA,NA,NA,NA,NA,NA
AR1,_1111820,2,P. lutea,3,PlutPalms1,Palms1,Palms,AR1_2_3,Hot,1,1,1,1,1,1
AR1,_1111820,2,P. lutea,4,PlutPalms23,Palms23,Palms,AR1_2_4,Hot,1,1,1,1,1,1
AR1,_1111820,2,P. lutea,5,PlutWood6,Wood6,Wood,AR1_2_5,Hot,1,1,1,1,1,1
AR1,_1111820,2,P. lutea,6,PlutDavies18,Davies18,Davies,AR1_2_6,Hot,1,1,1,1,1,1
AR1,_1111820,2,P. lutea,7,PlutDavies1,Davies1,Davies,AR1_2_7,Hot,1,1,1,1,1,1
AR1,_1111820,2,P. lutea,8,PlutWood13,Wood13,Wood,AR1_2_8,Hot,1,1,1,1,1,1
AR1,_1111820,2,P. lutea,9,PlutArlington6,Arlington6,Arlington,AR1_2_9,Hot,1,1,1,1,1,1
AR1,_1111820,2,P. lutea,10,NA,NA,NA,AR1_2_10,Hot,NA,NA,NA,NA,NA,NA
AR1,_1111820,2,P. lutea,11,PlutPalms4,Palms4,Palms,AR1_2_11,Hot,1,1,1,1,1,1
AR1,_1111821,3,A. hyacinthus,1,AhyaMartin3,Martin3,Martin,AR1_3_1,Hot,1,1,1,0,0,0
AR1,_1111821,3,A. hyacinthus,2,AhyaWood8,Wood8,Wood,AR1_3_2,Hot,1,1,1,1,1,1
AR1,_1111821,3,A. hyacinthus,3,NA,NA,NA,AR1_3_3,Hot,NA,NA,NA,NA,NA,NA
AR1,_1111821,3,A. hyacinthus,4,AhyaPalms5,Palms5,Palms,AR1_3_4,Hot,1,1,1,1,1,1
AR1,_1111821,3,A. hyacinthus,5,AhyaPalms3,Palms3,Palms,AR1_3_5,Hot,1,1,1,1,1,1
AR1,_1111821,3,A. hyacinthus,6,AhyaDavies15,Davies15,Davies,AR1_3_6,Hot,1,1,1,0,0,0
AR1,_1111821,3,A. hyacinthus,7,NA,NA,NA,AR1_3_7,Hot,NA,NA,NA,NA,NA,NA
AR1,_1111821,3,A. hyacinthus,8,AhyaMartin17,Martin17,Martin,AR1_3_8,Hot,1,1,1,1,1,1
AR1,_1111821,3,A. hyacinthus,9,AhyaMartin13,Martin13,Martin,AR1_3_9,Hot,1,1,1,1,1,1
AR1,_1111821,3,A. hyacinthus,10,AhyaMartin11,Martin11,Martin,AR1_3_10,Hot,1,1,1,1,1,1
AR1,_1111821,3,A. hyacinthus,11,AhyaArlington6,Arlington6,Arlington,AR1_3_11,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,1,PlutPalms3,Palms3,Palms,AR1_4_1,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,2,PlutWood29,Wood29,Wood,AR1_4_2,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,3,PlutArlington19,Arlington19,Arlington,AR1_4_3,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,4,PlutArlington9,Arlington9,Arlington,AR1_4_4,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,5,PlutPalms17,Palms17,Palms,AR1_4_5,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,6,PlutWood14,Wood14,Wood,AR1_4_6,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,7,PlutWood4,Wood4,Wood,AR1_4_7,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,8,PlutArlington12,Arlington12,Arlington,AR1_4_8,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,9,PlutDavies7,Davies7,Davies,AR1_4_9,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,10,PlutDavies9,Davies9,Davies,AR1_4_10,Hot,1,1,1,1,1,1
AR1,_1111823,4,P. lutea,11,PlutMartin4,Martin4,Martin,AR1_4_11,Hot,1,1,1,1,1,1
AR1,_1111824,5,A. hyacinthus,1,AhyaDavies12,Davies12,Davies,AR1_5_1,Hot,1,1,1,1,1,1
AR1,_1111824,5,A. hyacinthus,2,NA,NA,NA,AR1_5_2,Hot,NA,NA,NA,NA,NA,NA
AR1,_1111824,5,A. hyacinthus,3,AhyaDavies18,Davies18,Davies,AR1_5_3,Hot,1,1,1,1,0,0
AR1,_1111824,5,A. hyacinthus,4,AhyaDavies9,Davies9,Davies,AR1_5_4,Hot,1,1,1,1,1,1
AR1,_1111824,5,A. hyacinthus,5,NA,NA,NA,AR1_5_5,Hot,NA,NA,NA,NA,NA,NA
AR1,_1111824,5,A. hyacinthus,6,NA,NA,NA,AR1_5_6,Hot,NA,NA,NA,NA,NA,NA
AR1,_1111824,5,A. hyacinthus,7,AhyaArlington1,Arlington1,Arlington,AR1_5_7,Hot,1,1,1,1,1,1
AR1,_1111824,5,A. hyacinthus,8,AhyaWood16,Wood16,Wood,AR1_5_8,Hot,1,1,1,1,1,1
AR1,_1111824,5,A. hyacinthus,9,AhyaDavies14,Davies14,Davies,AR1_5_9,Hot,1,1,1,1,1,1
AR1,_1111824,5,A. hyacinthus,10,AhyaWood7A,Wood7A,Wood,AR1_5_10,Hot,1,1,1,1,1,1
AR1,_1111824,5,A. hyacinthus,11,AhyaArlington8,Arlington8,Arlington,AR1_5_11,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,1,PlutArlington16,Arlington16,Arlington,AR1_6_1,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,2,PlutArlington1,Arlington1,Arlington,AR1_6_2,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,3,PlutMartin36,Martin36,Martin,AR1_6_3,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,4,PlutDavies3,Davies3,Davies,AR1_6_4,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,5,PlutMartin14,Martin14,Martin,AR1_6_5,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,6,PlutMartin18,Martin18,Martin,AR1_6_6,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,7,PlutWood20,Wood20,Wood,AR1_6_7,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,8,PlutMartin32,Martin32,Martin,AR1_6_8,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,9,NA,NA,NA,AR1_6_9,Hot,NA,NA,NA,NA,NA,NA
AR1,_1111826,6,P. lutea,10,PlutDavies10,Davies10,Davies,AR1_6_10,Hot,1,1,1,1,1,1
AR1,_1111826,6,P. lutea,11,PlutPalms20,Palms20,Palms,AR1_6_11,Hot,1,1,1,1,1,1
AR2,_1111827,1,A. hyacinthus,1,AhyaArlington11,Arlington11,Arlington,AR2_1_1,Hot,1,1,1,1,1,1
AR2,_1111827,1,A. hyacinthus,2,AhyaDavies12,Davies12,Davies,AR2_1_2,Hot,1,1,1,1,1,1
AR2,_1111827,1,A. hyacinthus,3,AhyaMartin11,Martin11,Martin,AR2_1_3,Hot,1,1,1,1,1,1
AR2,_1111827,1,A. hyacinthus,4,AhyaWood8,Wood8,Wood,AR2_1_4,Hot,1,1,1,1,1,1
AR2,_1111827,1,A. hyacinthus,5,AhyaWood5A,Wood5A,Wood,AR2_1_5,Hot,1,1,1,1,1,1
AR2,_1111827,1,A. hyacinthus,6,AhyaArlington6,Arlington6,Arlington,AR2_1_6,Hot,1,1,1,1,1,1
AR2,_1111827,1,A. hyacinthus,7,AhyaDavies18,Davies18,Davies,AR2_1_7,Hot,1,1,1,1,0,0
AR2,_1111827,1,A. hyacinthus,8,AhyaMartin13,Martin13,Martin,AR2_1_8,Hot,1,1,1,1,1,1
AR2,_1111827,1,A. hyacinthus,9,AhyaDavies16,Davies16,Davies,AR2_1_9,Hot,1,1,1,1,1,1
AR2,_1111827,1,A. hyacinthus,10,AhyaDavies9,Davies9,Davies,AR2_1_10,Hot,1,1,1,1,0,0
AR2,_1111827,1,A. hyacinthus,11,AhyaPalms6,Palms6,Palms,AR2_1_11,Hot,1,1,1,0,0,0
AR2,_1111829,2,P. lutea,1,NA,NA,NA,AR2_2_1,Hot,NA,NA,NA,NA,NA,NA
AR2,_1111829,2,P. lutea,2,PlutArlington1,Arlington1,Arlington,AR2_2_2,Hot,1,1,1,1,1,1
AR2,_1111829,2,P. lutea,3,PlutMartin14,Martin14,Martin,AR2_2_3,Hot,1,1,1,1,1,1
AR2,_1111829,2,P. lutea,4,PlutDavies10,Davies10,Davies,AR2_2_4,Hot,1,1,1,1,1,1
AR2,_1111829,2,P. lutea,5,PlutWood13,Wood13,Wood,AR2_2_5,Hot,1,1,1,1,1,1
AR2,_1111829,2,P. lutea,6,PlutDavies3,Davies3,Davies,AR2_2_6,Hot,1,1,1,1,1,1
AR2,_1111829,2,P. lutea,7,PlutWood20,Wood20,Wood,AR2_2_7,Hot,1,1,1,1,1,1
AR2,_1111829,2,P. lutea,8,PlutDavies7,Davies7,Davies,AR2_2_8,Hot,1,1,1,1,1,1
AR2,_1111829,2,P. lutea,9,PlutDavies9,Davies9,Davies,AR2_2_9,Hot,1,1,1,1,1,1
AR2,_1111829,2,P. lutea,10,PlutDavies1,Davies1,Davies,AR2_2_10,Hot,1,1,1,1,1,1
AR2,_1111829,2,P. lutea,11,PlutPalms1,Palms1,Palms,AR2_2_11,Hot,1,1,1,1,1,1
AR2,_1111830,3,A. hyacinthus,1,NA,NA,NA,AR2_3_1,Hot,NA,NA,NA,NA,NA,NA
AR2,_1111830,3,A. hyacinthus,2,AhyaPalms10,Palms10,Palms,AR2_3_2,Hot,1,1,1,1,1,1
AR2,_1111830,3,A. hyacinthus,3,NA,NA,NA,AR2_3_3,Hot,NA,NA,NA,NA,NA,NA
AR2,_1111830,3,A. hyacinthus,4,AhyaDavies15,Davies15,Davies,AR2_3_4,Hot,1,1,1,0,0,0
AR2,_1111830,3,A. hyacinthus,5,AhyaWood17,Wood17,Wood,AR2_3_5,Hot,1,1,1,1,1,1
AR2,_1111830,3,A. hyacinthus,6,AhyaPalms5,Palms5,Palms,AR2_3_6,Hot,1,1,1,1,1,1
AR2,_1111830,3,A. hyacinthus,7,NA,NA,NA,AR2_3_7,Hot,NA,NA,NA,NA,NA,NA
AR2,_1111830,3,A. hyacinthus,8,AhyaWood7A,Wood7A,Wood,AR2_3_8,Hot,1,1,1,1,1,1
AR2,_1111830,3,A. hyacinthus,9,AhyaArlington8,Arlington8,Arlington,AR2_3_9,Hot,1,1,1,0,0,0
AR2,_1111830,3,A. hyacinthus,10,AhyaMartin12,Martin12,Martin,AR2_3_10,Hot,1,1,1,1,1,1
AR2,_1111830,3,A. hyacinthus,11,AhyaArlington10,Arlington10,Arlington,AR2_3_11,Hot,1,1,1,1,0,0
AR2,_1111832,4,P. lutea,1,PlutArlington16,Arlington16,Arlington,AR2_4_1,Hot,1,1,1,1,1,1
AR2,_1111832,4,P. lutea,2,PlutMartin18,Martin18,Martin,AR2_4_2,Hot,1,1,1,1,1,1
AR2,_1111832,4,P. lutea,3,NA,NA,NA,AR2_4_3,Hot,NA,NA,NA,NA,NA,NA
AR2,_1111832,4,P. lutea,4,PlutWood4,Wood4,Wood,AR2_4_4,Hot,1,1,1,1,1,1
AR2,_1111832,4,P. lutea,5,PlutPalms3,Palms3,Palms,AR2_4_5,Hot,1,1,1,1,1,1
AR2,_1111832,4,P. lutea,6,PlutDavies18,Davies18,Davies,AR2_4_6,Hot,1,1,1,1,1,1
AR2,_1111832,4,P. lutea,7,PlutPalms17,Palms17,Palms,AR2_4_7,Hot,1,1,1,1,1,1
AR2,_1111832,4,P. lutea,8,PlutArlington12,Arlington12,Arlington,AR2_4_8,Hot,1,1,1,1,1,1
AR2,_1111832,4,P. lutea,9,PlutMartin19,Martin19,Martin,AR2_4_9,Hot,1,1,1,1,1,1
AR2,_1111832,4,P. lutea,10,PlutPalms20,Palms20,Palms,AR2_4_10,Hot,1,1,1,1,1,1
AR2,_1111832,4,P. lutea,11,PlutWood29,Wood29,Wood,AR2_4_11,Hot,1,1,1,1,1,1
AR2,_1111833,5,A. hyacinthus,1,AhyaWood16,Wood16,Wood,AR2_5_1,Hot,1,1,1,1,1,1
AR2,_1111833,5,A. hyacinthus,2,AhyaArlington1,Arlington1,Arlington,AR2_5_2,Hot,1,1,1,1,1,1
AR2,_1111833,5,A. hyacinthus,3,NA,NA,NA,AR2_5_3,Hot,NA,NA,NA,NA,NA,NA
AR2,_1111833,5,A. hyacinthus,4,AhyaPalms4,Palms4,Palms,AR2_5_4,Hot,1,1,1,1,1,1
AR2,_1111833,5,A. hyacinthus,5,AhyaPalms3,Palms3,Palms,AR2_5_5,Hot,1,1,1,1,1,1
AR2,_1111833,5,A. hyacinthus,6,AhyaMartin3,Martin3,Martin,AR2_5_6,Hot,1,1,1,1,1,1
AR2,_1111833,5,A. hyacinthus,7,AhyaArlington9,Arlington9,Arlington,AR2_5_7,Hot,1,1,1,1,1,1
AR2,_1111833,5,A. hyacinthus,8,AhyaMartin17,Martin17,Martin,AR2_5_8,Hot,1,1,1,1,1,1
AR2,_1111833,5,A. hyacinthus,9,NA,NA,NA,AR2_5_9,Hot,NA,NA,NA,NA,NA,NA
AR2,_1111833,5,A. hyacinthus,10,AhyaDavies14,Davies14,Davies,AR2_5_10,Hot,1,1,1,1,1,1
AR2,_1111833,5,A. hyacinthus,11,AhyaPalms16,Palms16,Palms,AR2_5_11,Hot,1,1,1,1,1,1
AR2,_1111835,6,P. lutea,1,NA,NA,NA,AR2_6_1,Hot,NA,NA,NA,NA,NA,NA
AR2,_1111835,6,P. lutea,2,PlutPalms4,Palms4,Palms,AR2_6_2,Hot,1,1,1,1,1,1
AR2,_1111835,6,P. lutea,3,PlutMartin32,Martin32,Martin,AR2_6_3,Hot,1,1,1,1,1,1
AR2,_1111835,6,P. lutea,4,PlutMartin4,Martin4,Martin,AR2_6_4,Hot,1,1,1,1,1,1
AR2,_1111835,6,P. lutea,5,PlutArlington9,Arlington9,Arlington,AR2_6_5,Hot,1,1,1,1,1,1
AR2,_1111835,6,P. lutea,6,PlutMartin36,Martin36,Martin,AR2_6_6,Hot,1,1,1,1,1,1
AR2,_1111835,6,P. lutea,7,NA,NA,NA,AR2_6_7,Hot,NA,NA,NA,NA,NA,NA
AR2,_1111835,6,P. lutea,8,PlutWood14,Wood14,Wood,AR2_6_8,Hot,1,1,1,1,1,1
AR2,_1111835,6,P. lutea,9,PlutPalms23,Palms23,Palms,AR2_6_9,Hot,1,1,1,1,1,1
AR2,_1111835,6,P. lutea,10,PlutArlington6,Arlington6,Arlington,AR2_6_10,Hot,1,1,1,1,1,1
AR2,_1111835,6,P. lutea,11,PlutArlington19,Arlington19,Arlington,AR2_6_11,Hot,1,1,1,1,1,1
AR3,_1111845,1,A. hyacinthus,1,AhyaWood16,Wood16,Wood,AR3_1_1,Hot,1,1,1,1,1,1
AR3,_1111845,1,A. hyacinthus,2,AhyaWood5A,Wood5A,Wood,AR3_1_2,Hot,1,1,1,1,1,1
AR3,_1111845,1,A. hyacinthus,3,NA,NA,NA,AR3_1_3,Hot,NA,NA,NA,NA,NA,NA
AR3,_1111845,1,A. hyacinthus,4,AhyaMartin3,Martin3,Martin,AR3_1_4,Hot,1,1,1,1,1,1
AR3,_1111845,1,A. hyacinthus,5,AhyaWood17,Wood17,Wood,AR3_1_5,Hot,1,1,1,1,1,1
AR3,_1111845,1,A. hyacinthus,6,AhyaPalms4,Palms4,Palms,AR3_1_6,Hot,1,1,1,1,1,1
AR3,_1111845,1,A. hyacinthus,7,AhyaArlington6,Arlington6,Arlington,AR3_1_7,Hot,1,1,1,1,1,1
AR3,_1111845,1,A. hyacinthus,8,AhyaPalms5,Palms5,Palms,AR3_1_8,Hot,1,1,1,1,1,1
AR3,_1111845,1,A. hyacinthus,9,AhyaMartin13,Martin13,Martin,AR3_1_9,Hot,1,1,1,1,1,1
AR3,_1111845,1,A. hyacinthus,10,NA,NA,NA,AR3_1_10,Hot,NA,NA,NA,NA,NA,NA
AR3,_1111845,1,A. hyacinthus,11,AhyaDavies14,Davies14,Davies,AR3_1_11,Hot,1,0,0,0,0,0
AR3,_1111847,2,P. lutea,1,PlutDavies10,Davies10,Davies,AR3_2_1,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,2,PlutWood14,Wood14,Wood,AR3_2_2,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,3,PlutPalms3,Palms3,Palms,AR3_2_3,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,4,PlutArlington6,Arlington6,Arlington,AR3_2_4,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,5,PlutArlington1,Arlington1,Arlington,AR3_2_5,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,6,PlutDavies18,Davies18,Davies,AR3_2_6,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,7,PlutDavies3,Davies3,Davies,AR3_2_7,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,8,PlutDavies9,Davies9,Davies,AR3_2_8,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,9,PlutMartin19,Martin19,Martin,AR3_2_9,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,10,PlutArlington9,Arlington9,Arlington,AR3_2_10,Hot,1,1,1,1,1,1
AR3,_1111847,2,P. lutea,11,PlutWood29,Wood29,Wood,AR3_2_11,Hot,1,1,1,1,1,1
AR3,_1111848,3,A. hyacinthus,1,AhyaArlington11,Arlington11,Arlington,AR3_3_1,Hot,1,1,1,1,1,1
AR3,_1111848,3,A. hyacinthus,2,AhyaDavies15,Davies15,Davies,AR3_3_2,Hot,1,1,1,1,0,0
AR3,_1111848,3,A. hyacinthus,3,NA,NA,NA,AR3_3_3,Hot,NA,NA,NA,NA,NA,NA
AR3,_1111848,3,A. hyacinthus,4,AhyaWood8,Wood8,Wood,AR3_3_4,Hot,1,1,1,1,1,1
AR3,_1111848,3,A. hyacinthus,5,NA,NA,NA,AR3_3_5,Hot,NA,NA,NA,NA,NA,NA
AR3,_1111848,3,A. hyacinthus,6,AhyaPalms10,Palms10,Palms,AR3_3_6,Hot,1,1,1,1,1,1
AR3,_1111848,3,A. hyacinthus,7,AhyaPalms3,Palms3,Palms,AR3_3_7,Hot,1,1,1,1,1,1
AR3,_1111848,3,A. hyacinthus,8,AhyaArlington1,Arlington1,Arlington,AR3_3_8,Hot,1,1,1,1,1,1
AR3,_1111848,3,A. hyacinthus,9,AhyaMartin12,Martin12,Martin,AR3_3_9,Hot,1,1,1,1,1,1
AR3,_1111848,3,A. hyacinthus,10,AhyaDavies12,Davies12,Davies,AR3_3_10,Hot,1,1,1,1,1,1
AR3,_1111848,3,A. hyacinthus,11,AhyaDavies9,Davies9,Davies,AR3_3_11,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,1,PlutWood13,Wood13,Wood,AR3_4_1,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,2,PlutMartin14,Martin14,Martin,AR3_4_2,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,3,PlutDavies7,Davies7,Davies,AR3_4_3,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,4,PlutArlington16,Arlington16,Arlington,AR3_4_4,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,5,NA,NA,NA,AR3_4_5,Hot,NA,NA,NA,NA,NA,NA
AR3,_1111850,4,P. lutea,6,PlutPalms23,Palms23,Palms,AR3_4_6,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,7,PlutMartin36,Martin36,Martin,AR3_4_7,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,8,PlutMartin18,Martin18,Martin,AR3_4_8,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,9,PlutArlington12,Arlington12,Arlington,AR3_4_9,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,10,PlutPalms17,Palms17,Palms,AR3_4_10,Hot,1,1,1,1,1,1
AR3,_1111850,4,P. lutea,11,PlutWood20,Wood20,Wood,AR3_4_11,Hot,1,1,1,1,1,1
AR3,_1111851,5,A. hyacinthus,1,AhyaMartin11,Martin11,Martin,AR3_5_1,Hot,1,1,1,1,1,1
AR3,_1111851,5,A. hyacinthus,2,NA,NA,NA,AR3_5_2,Hot,NA,NA,NA,NA,NA,NA
AR3,_1111851,5,A. hyacinthus,3,AhyaArlington9,Arlington9,Arlington,AR3_5_3,Hot,1,1,1,1,1,1
AR3,_1111851,5,A. hyacinthus,4,AhyaPalms16,Palms16,Palms,AR3_5_4,Hot,1,1,1,1,1,1
AR3,_1111851,5,A. hyacinthus,5,AhyaDavies16,Davies16,Davies,AR3_5_5,Hot,1,1,1,1,1,1
AR3,_1111851,5,A. hyacinthus,6,AhyaWood7A,Wood7A,Wood,AR3_5_6,Hot,1,1,1,1,1,1
AR3,_1111851,5,A. hyacinthus,7,AhyaArlington10,Arlington10,Arlington,AR3_5_7,Hot,1,1,1,1,1,1
AR3,_1111851,5,A. hyacinthus,8,AhyaMartin17,Martin17,Martin,AR3_5_8,Hot,1,1,1,1,1,1
AR3,_1111851,5,A. hyacinthus,9,AhyaDavies18,Davies18,Davies,AR3_5_9,Hot,1,0,0,0,0,0
AR3,_1111851,5,A. hyacinthus,10,NA,NA,NA,AR3_5_10,Hot,NA,NA,NA,NA,NA,NA
AR3,_1111851,5,A. hyacinthus,11,AhyaArlington8,Arlington8,Arlington,AR3_5_11,Hot,1,0,0,0,0,0
AR3,_1111853,6,P. lutea,1,PlutWood4,Wood4,Wood,AR3_6_1,Hot,1,1,1,1,1,1
AR3,_1111853,6,P. lutea,2,NA,NA,NA,AR3_6_2,Hot,NA,NA,NA,NA,NA,NA
AR3,_1111853,6,P. lutea,3,PlutArlington19,Arlington19,Arlington,AR3_6_3,Hot,1,1,1,1,1,1
AR3,_1111853,6,P. lutea,4,PlutMartin32,Martin32,Martin,AR3_6_4,Hot,1,1,1,1,1,1
